fecha,long,lat,nro_huevos
9/03/2018,-31.82822,-60.51399,0
9/03/2018,-31.82881,-60.51573,0
9/03/2018,-31.82815,-60.51523,2
9/03/2018,-31.82795,-60.51634,0
9/03/2018,-31.82686,-60.51618,21
9/03/2018,-31.82731,-60.51542,0
9/03/2018,-31.82643,-60.51484,9
9/03/2018,-31.82541,-60.51482,8
9/03/2018,-31.82497,-60.51399,0
9/03/2018,-31.82674,-60.51413,0
9/03/2018,-31.82544,-60.51574,89
9/03/2018,-31.82448,-60.51537,0
1/03/2018,-31.82822,-60.51399,0
1/03/2018,-31.82881,-60.51573,0
1/03/2018,-31.82815,-60.51523,0
1/03/2018,-31.82795,-60.51634,0
1/03/2018,-31.82686,-60.51618,0
1/03/2018,-31.82731,-60.51542,0
1/03/2018,-31.82643,-60.51484,0
1/03/2018,-31.82541,-60.51482,0
1/03/2018,-31.82497,-60.51399,0
1/03/2018,-31.82674,-60.51413,0
1/03/2018,-31.82544,-60.51574,0
1/03/2018,-31.82448,-60.51537,7
21/02/2018,-31.82822,-60.51399,0
21/02/2018,-31.82881,-60.51573,0
21/02/2018,-31.82815,-60.51523,19
21/02/2018,-31.82795,-60.51634,0
21/02/2018,-31.82686,-60.51618,0
21/02/2018,-31.82731,-60.51542,0
21/02/2018,-31.82643,-60.51484,6
21/02/2018,-31.82541,-60.51482,0
21/02/2018,-31.82497,-60.51399,0
21/02/2018,-31.82674,-60.51413,0
21/02/2018,-31.82544,-60.51574,0
21/02/2018,-31.82448,-60.51537,9
14/02/2018,-31.82822,-60.51399,32
14/02/2018,-31.82881,-60.51573,0
14/02/2018,-31.82815,-60.51523,0
14/02/2018,-31.82795,-60.51634,0
14/02/2018,-31.82686,-60.51618,50
14/02/2018,-31.82731,-60.51542,36
14/02/2018,-31.82643,-60.51484,36
14/02/2018,-31.82541,-60.51482,0
14/02/2018,-31.82497,-60.51399,0
14/02/2018,-31.82674,-60.51413,0
14/02/2018,-31.82544,-60.51574,21
14/02/2018,-31.82448,-60.51537,1
7/02/2018,-31.82822,-60.51399,0
7/02/2018,-31.82881,-60.51573,0
7/02/2018,-31.82815,-60.51523,16
7/02/2018,-31.82795,-60.51634,0
7/02/2018,-31.82686,-60.51618,0
7/02/2018,-31.82731,-60.51542,22
7/02/2018,-31.82643,-60.51484,31
7/02/2018,-31.82541,-60.51482,0
7/02/2018,-31.82497,-60.51399,0
7/02/2018,-31.82674,-60.51413,0
7/02/2018,-31.82544,-60.51574,70
7/02/2018,-31.82448,-60.51537,2
1/02/2018,-31.82822,-60.51399,0
1/02/2018,-31.82881,-60.51573,0
1/02/2018,-31.82815,-60.51523,12
1/02/2018,-31.82795,-60.51634,0
1/02/2018,-31.82686,-60.51618,0
1/02/2018,-31.82731,-60.51542,51
1/02/2018,-31.82643,-60.51484,9
1/02/2018,-31.82541,-60.51482,42
1/02/2018,-31.82497,-60.51399,6
1/02/2018,-31.82674,-60.51413,0
1/02/2018,-31.82544,-60.51574,12
1/02/2018,-31.82448,-60.51537,17
26/12/2017,-31.82822,-60.51399,0
26/12/2017,-31.82881,-60.51573,0
26/12/2017,-31.82815,-60.51523,0
26/12/2017,-31.82795,-60.51634,0
26/12/2017,-31.82686,-60.51618,0
26/12/2017,-31.82731,-60.51542,0
26/12/2017,-31.82643,-60.51484,0
