fecha,lat,long,nro_huevos,x,y
26/05/2018,-31.82822,-60.51399,0,735286.6754710863,-3524088.4245595946
26/05/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
26/05/2018,-31.82815,-60.51523,0,735169.4612787932,-3524077.97530978
26/05/2018,-31.82795,-60.51634,0,735064.8839239381,-3524053.3937491737
26/05/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
26/05/2018,-31.82731,-60.51542,0,735153.6052599191,-3523984.419400653
26/05/2018,-31.82643,-60.51484,0,735210.7482853285,-3523888.096319442
26/05/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
26/05/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
26/05/2018,-31.82674,-60.51413,0,735277.178888299,-3523924.0096860854
26/05/2018,-31.82544,-60.51574,0,735128.0545216311,-3523776.3693633894
26/05/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
19/05/2018,-31.82822,-60.51399,0,735286.6754710863,-3524088.4245595946
19/05/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
19/05/2018,-31.82815,-60.51523,0,735169.4612787932,-3524077.97530978
19/05/2018,-31.82795,-60.51634,0,735064.8839239381,-3524053.3937491737
19/05/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
19/05/2018,-31.82731,-60.51542,0,735153.6052599191,-3523984.419400653
19/05/2018,-31.82643,-60.51484,0,735210.7482853285,-3523888.096319442
19/05/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
19/05/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
19/05/2018,-31.82674,-60.51413,0,735277.178888299,-3523924.0096860854
19/05/2018,-31.82544,-60.51574,0,735128.0545216311,-3523776.3693633894
19/05/2018,-31.82448,-60.51537,0,735165.519569239,-3523670.7202875833
12/05/2018,-31.82822,-60.51399,0,735286.6754710863,-3524088.4245595946
12/05/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
12/05/2018,-31.82815,-60.51523,0,735169.4612787932,-3524077.97530978
12/05/2018,-31.82795,-60.51634,0,735064.8839239381,-3524053.3937491737
12/05/2018,-31.82686,-60.51618,0,735082.796226834,-3523932.874505087
12/05/2018,-31.82731,-60.51542,0,735153.6052599191,-3523984.419400653
12/05/2018,-31.82643,-60.51484,68,735210.7482853285,-3523888.096319442
12/05/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
12/05/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
